Pcarrie	Carrie Battan	Battan, Carrie			G																				1																																									0													0																																																		0			
pb	Pauline Bax	Bax, Pauline	BaxP.htm	9	D K											1			1										1															3	Oor	3		a	Pauline		1															0													0																																1																		1		0	
jurgenb	Jurgen Beckers	Beckers, Jurgen	BeckersJ.htm		D G														1						1																			2	Humo			a	Jurgen		2															0													0																																	1	1																2		1	1
gbed	Gerard Bed	Bed, Gerard	BedG.htm		D														1																									1	Oor (de uitgever)	1		a	Gerard		1															0													0																1																																		1		0	
sbeeber	Stephen Beeber	Beeber, Stephen			G																				1																			1							0															0													0																																																		0		0	
HumoGodb	Geert op de Beeck	Beeck, Griet op de			G																				1																										0															0													0																																																		0		0	
tombeek	Tom Beek	Beek, Tom	BeekT.htm																																															Jazz magazine	4															0				1	1	1	1						4																																																		0		0	
gielb	Giel Beelen	Beelen, Giel	BeelenG.htm		A H			1																		1																		2							1															0													0																																									1									1		1	1
tbeetz	Tom Beetz	Beetz, Tom	BeetzT.htm						1												1		1											1										4							8															0	1	1	1					1	1	1	1	1	8																																																		0		0	
cbeijn	Cathelijne Beijn	Beijn, Cathelijne	BeijnC.htm		K																								1																						4															0				1	1	1	1						4																																																		0		0	
BejarDan	Dan Bejar	Bejar, Dan			G																				1																																																																																																											
Belafonte	Harry Belafonte	Belafonte, Harry			B G										1										1																																																																																																											
mbell	Max Bell	Bell, Max		4 11 15	G					1										1					1								1											4							0															0													0																																																		0		0	
wbem	Willem Bemboom	Bemboom, Willem	BemboomW.htm	11 14 18 20 21 22																1												1				1		1	1	1				6		1	1		Willem	Oor	11															0													0																																							1	1	1	1	1	1	1	1	1	1	1	11		8	1
nisseb	Nisse Benhaddaoui	Benhaddaoui, Nisse																																																																0													0																																																		0			
jbenn	Jon Bennett	Bennett, Jon			G																				1																			1							0															0													0																																																		0		0	
mbenn	Mark Bennett	Bennett, Mark			G																				1																			1							0															0													0																																																		0		0	
rossb	Ross Bennett	Bennett, Ross			G																				1																										0															0													0																																																		0		0	
rbentz	Roel Bentz van den Berg	Bentz van den Berg, Roel	BentzR.htm	1 3 4 5 11 12 13	C D H	1			1	1	1						1		1	1	1		1			1																		10	VPRO			a	Roel		4															0													0											1	1				1					1																													4	1	0	
abenz	Adam Benzine	Benzine, Adam			G																				1																			1							0															0													0																																																		0		0	
BergBram	Bram van den Berg	Berg, Bram van den			B										1																																			Krezip	1	1														0													0																																																		0		0	
evdb	Erik van den Berg	Berg, Erik van den	BergE.htm	1 2 5 7 8 15 20 21	D I	1	1				1		1	1					1								1						1					1	1					10	Oor	17	1	a	Erik	Oor	36															0													0														1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	36		13	1
rvdb	Rob van den Berg	Berg, Rob van den																																										0		1			Rob		0															0													0																																																		0		0	
wvdberg	Walter van den Berg	Berg, Walter van den																																																	0															0													0																																																		0	1	0	
pbergen	Paul Bergen	Bergen, Paul	BergenP.htm																																									0						Oor	2															0													0																																									1		1							2		2	1
dvdb	Dieter van den Bergh	Bergh, Dieter van den	BerghD.htm	1 13	D	1													1				1																					3	Oor	5		a	Dieter		4															0													0																															1	1	1	1																4		1	1
eberghuis	Eveline Berghuis	Berghuis, Eveline			K																								1																						0															0													0																																																		0		0	
hvdb	Hans van den Berk	Berk, Hans van den																																										0		1			Hans		0															0													0																																																		0		0	
Berkestijn	Tim van Berkestijn	Berkestijn, Tim van			B										1																																			Benny sings	1	1														0													0																																																		0		0	
Berlijn	Robin Berlijn	Berlijn, Robin			B										1																																			Fatal flowers, Ellen ten Damme	1	1														0													0																																																		0		0	
Pstuart	Stuart Berman	Berman, Stuart			G																				1																																									0													0																																																		0			
jb	José Bernaerts	Bernaerts, José			K																								1															1		2			José		0															0													0																																																		0		0	
sbersee	Sven Bersee	Bersee, Sven		5 18							1																									1																														0													0																																																		0			
Pandy	Andy Beta	Beta, Andy			G																				1																																									0													0																																																		0			
wbeuk	Wendolijn Beukers	Beukers, Wendolijn			K																								1																						0															0													0																																																		0		0	
jaapvb	Jaap van Beusekom	Beusekom, Jaap van	BeusekomJ.htm																																									0	Stichting Pop Nederland			a	Jaap		1															0													0																1																																		1		0	
wvb	Willem van Beusekom	Beusekom, Willem van	BeusekomW.htm		C H L												1									1				1														3	Vara	1		a	Willem		6															0													0	1					1	1	1		1						1																																		6		0	
JelloB	Jello Biafra	Biafra, Jello			B G										1										1																																																																																																											
pbijl	Peter Bijl	Bijl, Peter	BijlP.htm																																									0		1			Peter	Mitte bitte	1															0													0																																													1					1		1	1
rickb	Rick Bindels	Bindels, Rick																																										0		1			Rick		0															0													0																																																		0		0	
ebindervoet	Erik Bindervoet	Bindervoet, Erik																																																	0															0													0																																																		0	1	0	
mbink	Mark Bink	Bink, Mark																																																																																																																																		
wbirch	Will Birch	Birch, Will		4	G					1															1																			2		1			Will		0															0													0																																																		0		0	
jblack	Johnny Black	Black, Johnny		5 11 14	G						1									1					1							1												4		1			Johnny		0															0													0																																																		0		0	
mblack	Mary Blacklock	Blacklock, Mary			G K																				1				1															2							0															0													0																																																		0		0	
BlakeJames	James Blake	Blake, James			B G										1										1																																																																																																											
mblake	Mark Blake	Blake, Mark			G																				1																			1		1			Mark		0															0													0																																																		0		0	
BlakeP	Peter Blake	Blake, Peter			B G										1										1																																																																																																											
rblanksma	Rinse Blanksma	Blanksma, Rinse	BlanksmaR.htm																																																1															0													0																																												1						1		1	1
nellblock	Nell Block	Block, Nell			G																				1																										0															0													0																																																		0		0	
wb	Wim Bloemendaal	Bloemendaal, Wim	BloemendaalW.htm	1	C D H	1											1		1							1																		4	Journalist	6		a	Wim		1															0													0	1																																																	1		0	
leoblok	Leo Blokhuis	Blokhuis, Leo	BlokhuisL.htm		A E J			1														1						2007																2009							4															0													0																																									1			1			1		1	4		2	1
eblom	Erwin Blom	Blom, Erwin	BlomE.htm		C H												1									1																		2	VPRO			a	Erwin		5															0													0																														1	1	1	1	1																5		1	1
tblomberg	Tom Blomberg	Blomberg, Tom	BlombergT.htm		C D H												1		1							1																		3	KRO			a	Tom		1															0													0																1																																		1		0	
tblondeau	Thomas Blondeau	Blondeau, Thomas																																																	0															0													0																																																		0	1	0	
zbloom	Zach Bloom	Bloom, Zach			G																				1																			1							0															0													0																																																		0		0	
rvboeck	Ric van Boeckel	Boeckel, Ric van	BoeckelR.htm																																																4															0				1	1	1	1						4																																																		0		0	
ahdb	August Hans den Boef	Boef, August Hans den			A			1																																				1							0															0													0																																																		0		0	
frankb	Frank Boeijen	Boeijen, Frank																																																	0															0													0																																																		0		0	
hb	Helmut Boeijen	Boeijen, Helmut	BoeijenH.htm	9 11 20 21	D											1			1	1																		1	1					5	Oor/VPRO/Brabants dagblad	7		a	Helmut		6															0													0																																1	1	1	1	1	1													6		4	1
jboeijen	John Boeijen	Boeijen, John	BoeijenJ.htm		M																										1													1							0															0													0																																																		0		0	
nb	Nicole Boelens	Boelens, Nicole			K																								1															1		2			Nicole		0															0													0																																																		0		0	
bboer	Basje Boer	Boer, Basje																																																	0															0													0																																																		0	1	0	
nboers	Nando Boers	Boers, Nando																																																	0															0													0																																																		0	1	0	
bb	Bambi Bogert	Bogert, Bambi	BogertB.htm	20	D K														1										1									1						3	Oor, Nieuwe revu	4		a	Bambi		6															0													0																					1	1	1	1		1						1																		6		0	
fvdbold	Frank van den Bold	Bold, Frank van den 	BoldF.htm		C D												1		1																									2	Basic groove			a	Frank		2															0													0																															1		1																	2		0	
jbol	John Bollenberg	Bollenberg, John																																										0							0															0													0																																																		0		0	
henb	Henning Bolte	Bolte, Henning	BolteH.htm	13 16																			1											1										2		1		a	Henning		14				1	1	1	1	1	1	1	1	1			9				1	1	1	1					1	5																																																		0		0	
wimb	Wim Boluijt	Boluijt, Wim	BoluijtW.htm	5 11 15							1									1													1											3		1		a	Wim		6					1	1		1	1	1			1		6													0																																																		0		0	
bbommelje	Bastiaan Bommeljé	Bommeljé, Bastiaan			A			1																																											0															0													0																																																		0	1	0	
jbom	Joep Bommer	Bommer, Joep																																										0		1			Joep		0															0													0																																																		0		0	
wbommer	Wanda Bommer	Bommer, Wanda			K																								1																						0															0													0																																																		0	1	0	
kbones	Kate Bones	Bones, Kate			G K																				1				1															2							0															0													0																																																		0		0	
