D31	1981	Book of rock lists	The best of the album chartmakers by year - 1967	Bookofrocklists.htm	pos			Algemeen	Engeland	Boek	1967	40				1967	1	1967	D31	1981	1	D31	
D32	1981	Book of rock lists	The best of the album chartmakers by year - 1968	Bookofrocklists.htm	pos			Algemeen	Engeland	Boek	1968	40				1968	1	1968	D32	1981	1	D32	
D33	1981	Book of rock lists	The best of the album chartmakers by year - 1969	Bookofrocklists.htm	pos			Algemeen	Engeland	Boek	1969	40				1969	1	1969	D33	1981	1	D33	
D34	1981	Book of rock lists	The best of the album chartmakers by year - 1970	Bookofrocklists.htm	pos			Algemeen	Engeland	Boek	1970	40				1970	1	1970	D34	1981	1	D34	
D35	1981	Book of rock lists	The best of the album chartmakers by year - 1971	Bookofrocklists.htm	pos			Algemeen	Engeland	Boek	1971	40				1971	1	1971	D35	1981	1	D35	
D36	2005	Songlines	Songlines - 50 essential African albums	Songlines50Africanalbums.htm	pos	1		World	Engeland	Tijdschrift	1982-2004	50				canon 	1		D36	2005		D36	
D37	1977	Boek	The top 200 rock 'n' roll albums of all time (1977)	Worldcriticslists1977en1987.htm	pos			Algemeen	Engeland	Boek	1956-1977	200							D37	1977		D37	
D38	1987	Boek	The top 100 rock 'n' roll albums of all time (1987)	Worldcriticslists1977en1987.htm	pos			Algemeen	Engeland	Boek	1957-1984	100							D38	1987		D38	
D39	2005	Word	Word - hidden treasures : great underrated albums of our time	Wordhiddentreasures.htm	pos			Algemeen	Engeland	Tijdschrift	1961-2004	60							D39	2005		D39	
D40	2005	Word	Word - hidden treasures : great underrated albums of our time	Wordhiddentreasures.htm	pos			Algemeen	Engeland	Tijdschrift	1964-2004	40							D40	2005		D40	
D41	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 70s : 1970	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1970	19				1970	1	1970	D41	2006	1	D41	
D42	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 70s : 1971	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1971	20				1971	1	1971	D42	2006	1	D42	
D43	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 70s : 1972	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1972	20				1972	1	1972	D43	2006	1	D43	
D44	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 70s : 1973	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1973	20				1973	1	1973	D44	2006	1	D44	
D45	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 70s : 1974	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1974	20				1974	1	1974	D45	2006	1	D45	
D46	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 70s : 1975	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1975	20				1975	1	1975	D46	2006	1	D46	
D47	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 70s : 1976	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1976	20				1976	1	1976	D47	2006	1	D47	
D48	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 70s : 1977	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1977	20				1977	1	1977	D48	2006	1	D48	
D49	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 70s : 1978	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1978	20				1978	1	1978	D49	2006	1	D49	
D50	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 70s : 1979	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1979	20				1979	1	1979	D50	2006	1	D50	
D51	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 80s : 1980	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1980	20				1980	1	1980	D51	2006	1	D51	
D52	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 80s : 1981	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1981	20				1981	1	1981	D52	2006	1	D52	
D53	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 80s : 1982	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1982	20				1982	1	1982	D53	2006	1	D53	
D54	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 80s : 1983	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1983	20				1983	1	1983	D54	2006	1	D54	
D55	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 80s : 1984	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1984	20				1984	1	1984	D55	2006	1	D55	
D56	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 80s : 1985	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1985	19				1985	1	1985	D56	2006	1	D56	
D57	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 80s : 1986	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1986	20				1986	1	1986	D57	2006	1	D57	
D58	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 80s : 1987	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1987	20				1987	1	1987	D58	2006	1	D58	
D59	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 80s : 1988	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1988	19				1988	1	1988	D59	2006	1	D59	
D60	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 80s : 1989	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1989	20				1989	1	1989	D60	2006	1	D60	
D61	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 90s : 1990	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1990	20				1990	1	1990	D61	2006	1	D61	
D62	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 90s : 1991	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1991	21				1991	1	1991	D62	2006	1	D62	
D63	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 90s : 1992	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1992	20				1992	1	1992	D63	2006	1	D63	
D64	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 90s : 1993	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1993	20				1993	1	1993	D64	2006	1	D64	
D65	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 90s : 1994	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1994	19				1994	1	1994	D65	2006	1	D65	
D66	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 90s : 1995	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1995	20				1995	1	1995	D66	2006	1	D66	
D67	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 90s : 1996	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1996	20				1996	1	1996	D67	2006	1	D67	
D68	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 90s : 1997	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1997	20				1997	1	1997	D68	2006	1	D68	
D69	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 90s : 1998	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1998	20				1998	1	1998	D69	2006	1	D69	
D70	2006	Classic rock & Metal hammer special	Decades - the 200 greatest albums of the 90s : 1999	Decades708090s.htm	gp			Algemeen	Engeland	Tijdschrift	1999	20				1999	1	1999	D70	2006	1	D70	
D71	2006	Internet	Heartworn highways : the 25 greatest country albums (by Zayne Reeves)	Heartwornhighways40albums.htm	pos	1		C&W	V.S.	Internet	1946-2006	26				canon 	1		D71	2006		D71	
D72	2006	Internet	Heartworn highways : 15 essential country anthologies (by Zayne Reeves)	Heartwornhighways40albums.htm	pos	1		C&W	V.S.	Internet	1963-2000	15				canon 	1		D72	2006		D72	
D74	2006	Observer	Observer - 50 albums that changed music	Observer50albums.htm	pos	1		Algemeen	Engeland	Tijdschrift	1956-2001	50				canon 	1		D74	2006		D74	
D75	2006	GQ	GQ - 100 coolest albums	GQ100coolest.htm	pos			Algemeen	Engeland	Tijdschrift	1952-2005	100							D75	2006		D75	
D76	2006	Attitude	Attitude - 50 gay albums of all time	Attitude50gayalbums.htm	pos			Algemeen	Engeland	Tijdschrift	1961-2005	50							D76	2006		D76	
D77	2005	New nation	New nation - top 100 albums by black artists	NewNationTop100albumsbyblackartists.htm	pos	1		Algemeen	V.S.	Tijdschrift	1949-2003	100				canon 	1		D77	2005		D77	
